"Name","Name Hebrew","DB_ID","Settlement Type","Established Year","Established","x (ITM)","y (ITM)","x (UTM)","y(UTM)","Nearest Settlemet","District","Municipality","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kochav Ya'akov East","כוכב יעקב מזרח","269","Outpost","2003","December 2003","223966","642773","31.877467","35.251408","Kochav Ya'akov","Jerusalem","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mishpatei Aretz Inst.","מכון משפטי ארץ","279","Outpost","2004","January 2004","224021","649707","31.940002","35.25202","Ofra","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ofra North East","עפרה צפון מזרח","308","Outpost","2004","April 2004","225483","651689","31.957865","35.267496","Ofra","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bnei Adam","בני אדם","232","Outpost","2004","June 2004","228695","639051","31.843877","35.301353","Geva Binyamin (aka Adam)","Jerusalem","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Omer Farm - Einot Kedem","חוות עומר - עינות קדם","264","Outpost","2005","June 2005","240656","648313","31.927241","35.427913","Yitav","Jericho","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maoz Ester","מעוז אסתר","336","Outpost","2008","","232701","652823","31.967354","35.344146","kochav Hashahar","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Or HaOrot Hill 825","אור האורות גבעה 825","1210","Outpost","2008","","232558","674699","32.165843","35.342321","Itamar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eretz Hamirdafim","ח'אן ארץ המרדפים","1070","Outpost","2012","","233844","636424","31.820129","35.355708","Kfar Adumim","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kashuela Farm","חוות קשואלה","1066","Farm Outpost","2012","","209756","620348","31.675193","35.101451","Gvaot","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nahalat Yossef","נחלת יוסף","340","Outpost","2012","","233101","681391","32.225657","35.348488","Elon Moreh","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zufim North","צופים צפון","356","Outpost","2012","","201439","678851","32.202688","35.012652","Zufim","Qalqiliya","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tene Yarok Farm","חוות טנא ירוק דידי עמוסי","1155","Farm Outpost","2012","","248746","693672","32.336535","35.515614","Rotem","","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Itamar 573","איתמר 573","327","Farm Outpost","2013","","235468","672383","32.144388","35.373459","Itamar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arugot Farm","חוות ערוגות - מעלה עמוס מערב","1064","Outpost","2013","","220607","611979","31.599757","35.215873","Maale Amos","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mitzpe Yair Farm","שפת המדבר - חוות מצפה יאיר (נתי שבו)","1156","Farm Outpost","2013","","213232","588056","31.384419","35.139071","Mitzpe Yair","","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hashkedim Farm","חוות השקדים אלון מורה","1117","Farm Outpost","2014","","231617","681293","32.224975","35.33318","Elon Moreh","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kumi Uri","קומי אורי","1172","Outpost","2014","","222518","673820","32.157813","35.236804","Yizhar","Nablus","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oz Vegaon","עוז וגאון","1089","Outpost","2014","","212799","616610","31.641507","35.13356","Migdal Oz","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"keidar South","קדר דרום - קדר הישנה","347","Outpost","2014","","228661","628166","31.746074","35.301578","Keidar","","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malachei HaShalom","מלאכי השלום","1072","Farm Outpost","2015","","234543","658993","32.023651","35.363438","Shilo","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mehula West - Neve Roim","שירת העשבים - נווה רועים","1068","Farm Outpost","2016","","247694","696824","32.36455","35.503758","Mehola","Tubas","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nof Gilad Farm - Um Zuka","אום זוקא, חוות נוף גלעד","1069","Farm Outpost","2016","","249161","688451","32.289011","35.51909","Hemdat","Tubas","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Meged Shami'm","מגד שמים","1211","Outpost","2016","","223234","674751","32.166206","35.244525","Yizhar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kedem Arava","קדם ערבה","1067","Outpost","2017","","247407","634953","31.806608","35.498923","Beit Ha'arava","Jericho","Megilot","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shabtay's Farm","החווה של שבתאי, חוות אברהם","1074","Farm Outpost","2017","","196911","586326","31.368181","34.966772","Tene","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Neve Achi","נווה אח""י","1073","Outpost","2017","","212581","657338","32.008805","35.130973","Halamish","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Homesh","חומש","333","Outpost","2017","","218255","690537","32.30769","35.192455","Shavei Shomron","Jenin","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bentayim Farm","חוות בינתיים","1095","Farm Outpost","2018","","248129","691654","32.317917","35.50823","Maskiyot","Tubas","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
